ID;Job Title;Company;Location;Responsibilities;Requirements;Benefits;URL
24;IT Procurement Specialist;Swift Recruitment;Warsaw;"Collaborate with global business stakeholders to understand strategic priorities and ensure alignment with procurement policies and standards; Lead end-to-end e-sourcing initiatives including RFI, RFQ, RFP and e-auctions, covering requirements gathering, market analysis, evaluation, negotiation and award; Manage global contracts and related administration, ensuring compliance with negotiated terms, regulatory requirements and service levels, including renewals, amendments and terminations; Manage third-party risk and ensure compliance with regulatory and internal standards; Support vendor relationship management, performance tracking, issue resolution and continuous improvement initiatives; Act as a contributor to strategic initiatives such as ESG, procurement best-in-class practices and cost optimization programs";"Minimum 3 years of experience in IT Procurement; Hands-on experience running sourcing projects in Procurement, preferably within Software, SaaS, Hardware or IT Services; Strong, fact-based negotiation skills; Experience working with global purchasing agreements, including drafting, reviewing and negotiating contracts; Ability to build effective relationships with stakeholders across different seniority levels; Work proactively and independently in international environments; Ability to operate in ambiguous and complex settings; Very good organizational and communication skills; English B2/C1; Very good knowledge of Excel, PowerPoint and e-sourcing tools; experience with ERP or procurement systems is an advantage";;https://www.linkedin.com/jobs/view/4420284672
25;IT Administrator & Helpdesk;gravity9;Warsaw;"Be the default responder in #itsupport and on the JIRA Service Management ITSUP queue. We currently see 10–15 tickets a week. Typical examples: Okta enrolment on new phones, MFA resets, password recovery; Kolide device-compliance issues; NordLayer VPN authentication and SSO assignment; Access requests across Atlassian (Jira/Confluence), Azure DevOps, GitHub, SharePoint, Microsoft 365, BreatheHR, Ruddr; Software license provisioning and approval workflow; Returning-consultant re-onboarding and full leaver offboarding. Help consultants set up and troubleshoot VDI environments. Own ticket lifecycle in JIRA: triage, prioritise, work, communicate, close, and keep an eye on aging tickets. Maintain a public-facing FAQ / runbook. Day-to-day administration of Okta. Entra ID / Microsoft Graph administration. Azure RBAC across subscriptions. Azure DevOps organisation administration. Joiner / mover / leaver process across Okta, Microsoft 365, BreatheHR, Ruddr, GitHub, Atlassian, NordLayer, and any project-specific tooling. Own Kolide day-to-day: investigate failing checks, work with users on remediation. Support periodic IAM / access audits. Help drive ongoing improvement of security posture in support of client audits and certifications. Atlassian Cloud administration. Microsoft 365 & SharePoint administration. GitHub organisation administration. Internal tooling & automation: maintain and extend IT Support Slack Bot (Python; Azure Container Apps; JIRA Service Management). n8n self-hosted on Azure via OAuth2 proxy + auth bridge pattern. SSO integration of new SaaS products into Okta tenant. IT Policy reminder automation. ISO acknowledge reminder automation. Other ad-hoc internal tooling on Azure. Light DevOps support: Azure subscription cleanup, pipeline tweaks, service-connection wiring, Function App / Container App config changes.";"2+ years in an IT administration, helpdesk, or junior DevOps role; Hands-on Okta administration or equivalent IdP experience (Entra ID, Google Workspace); Hands-on Azure experience — RBAC, App Registrations, Container Apps or App Service, basic Bicep / ARM, working knowledge of Entra ID; Azure DevOps as both a user and an administrator; Working knowledge of endpoint compliance / MDM concepts; Comfortable shipping small Python (or Node) services and automations; Strong written and spoken English; Service mindset; Comfortable working largely autonomously; Familiarity with Kolide, NordLayer, BreatheHR, Ruddr (nice to have); Exposure to n8n, Zapier (nice to have); Slack bot development (nice to have); Awareness of Cyber Essentials Plus, SOC 2, ISO 27001 (nice to have); Polish (nice to have)";;https://www.linkedin.com/jobs/view/4416663108
26;Operational System Administrator;Publicis Production EMEA Hub;Warsaw;Act as the system administrator for the time tracking platform, ensuring system stability, data accuracy, and proper configuration. Manage system updates, user access, and dependencies across tools. Handle and resolve system-related tickets in a timely manner, proactively identifying issues and implementing solutions. Ensure continuous communication with users and stakeholders regarding system-related topics. Maintain strong knowledge of timesheet processes and policies, and monitor compliance with time logging and submission requirements. Prepare regular and ad hoc analyses for managers and business teams. Communicate clearly with managers and business leads regarding issues, gaps, and required actions. Provide guidance and support to users, acting as a key point of contact for timesheet-related (primarily technical) topics. Collaborate closely with Finance on reporting, data validation, and processes. Ensure alignment between systems and financial requirements, supporting interdependencies between tools and processes. Manage internal requests through ticketing systems, ensuring accurate and timely processing of corrections and changes. Drive process improvements, standardization, and efficiency.;Experience in system administration or working with time tracking / workflow tools. Very good English language (both written and verbal). Strong understanding of operational processes and ability to manage system-related tasks. Experience in handling tickets or working with internal support/request systems. Problem-solving mindset with the ability to identify issues and implement solutions. Strong communication skills. Ability to explain complex or technical topics in a clear and structured way. Experience working cross-functionally. High attention to detail and ability to manage multiple tasks simultaneously. Proactive approach and willingness to improve existing processes.;Opportunity to develop in a stable company with an established position in the market. Extensive range of online training courses. Opportunity to participate in international and local development projects and programmes. International working environment. Attractive package of non-wage benefits (medical care, benefit platform, life insurance program, recreation allowance, training platform access). Hybrid working model. Work Your World – work from any place in the world for 6 weeks a year. Friendly and casual working atmosphere.;https://www.linkedin.com/jobs/view/4418813539
27;IT Service Owner;Siemens;Warsaw;Being end-to-end accountable for the delivery, performance, quality, and continuous improvement of the service across factory and production environments. Ensuring that OT services operate reliably, securely, and in alignment with business, compliance, and cybersecurity requirements. Defining and maintaining the service vision, strategy, and roadmap, ensuring alignment with business and factory needs. Overseeing end-to-end service performance, including uptime, SLAs, KPIs, and service quality. Managing architecture alignment for OT services. Implementing ITIL-based standard processes, focusing on request, incident, problem, and change management for OT environments. Coordinating and managing multi-provider operations, ensuring cross-team alignment. Ensuring compliance with defined standards, target architecture, cybersecurity standards and industrial regulatory requirements. Overseeing service documentation, including SOPs, SLAs, service catalogs, and architecture documentation. Monitoring service performance and preparing regular service reporting (KPIs, risks, improvements, investment needs). Fostering strong stakeholder relationships across IT/OT teams, cybersecurity, factory operations, providers, and external vendors.;Experience (10+ years) with large scale network transformations or factory modernization projects. Solid understanding of IT and OT network technologies (L2/L3 switching, firewalls, VLANs, routing, segmentation), deep knowledge of ITIL processes. Understanding of factory automation, industrial Network devices, and shopfloor connectivity. Strong analytical skills with the ability to interpret complex technical environments. Excellent communication and stakeholder management skills. Experience working in multi provider environments is a plus. Fluent in English.;Employment contract. Remote work. Additional paid days off. MyBenefit cafeteria system. Lunch card with a fixed monthly amount. Employee Assistance Program (psychological support, psychotherapy, coaching, legal and financial consultations). Employee Pension Program (PPE) – Siemens covers 100% of the basic contribution. Share Purchase Program. Medical care, life insurance, Multisport card.;https://www.linkedin.com/jobs/view/4415669811
28;IT Support Administrator;BrainRocket;Warsaw;"Interacting with internal clients to identify their needs; Preparing detailed requirement specifications; Analyzing current business processes and suggesting optimizations using JIRA; Setting up projects, boards, workflows, and other JIRA functionalities; Configuring user permissions and access levels; Integrating JIRA with other tools and systems; Creating and maintaining documentation on JIRA configuration and usage; Training users and providing technical support; Conducting regular system audits to ensure optimal performance";"At least 2 years of experience working with JIRA; Experience in gathering and analyzing requirements; Understanding of JIRA functionality and configuration; Experience in integrating JIRA with other tools is an advantage; Excellent communication skills and the ability to work in a team; Ability to quickly learn and adapt to new tools and methodologies; Experience working in Agile/Scrum teams (plus); Atlassian certification (plus); Experience with other project management tools (plus); Python programming skills (plus)";"Learning and development opportunities and interesting challenging tasks; Relocation package (tickets, hotel up to 2 weeks, visa relocation support for employees and family members); Language classes compensation (English and Portuguese); Partial compensation for tennis lessons; Global health insurance; 24 working days annual vacation and additional paid sick days; Transport compensation - 200 euros net per month; Competitive remuneration level with annual review; Team building activities; Office in Portugal";https://www.linkedin.com/jobs/view/4411180952
29;IT Consultant;Boston Consulting Group;Warsaw;"Supporting clients across industries in their digital transformation journeys; contributing to IT landscape assessments; technology strategy development; vendor evaluations; helping global organizations define and execute digital roadmaps";"2-3 (min.) years of experience in IT, consulting, project management, or a related field; higher education in IT, engineering, business, or a related field; analytical mindset with the ability to structure complex problems and translate them into actionable recommendations; basic understanding of IT architectures, software development, or enterprise systems; strong communication skills; ability to create clear presentations and written deliverables for both technical and business audiences; proactivity, self-sufficiency; willingness to travel (approx. 50%); fluent in Polish and English (spoken and written)";"Clear career path with structured development and regular feedback; international team environment; access to global knowledge and collaboration with experts; team-building events; training, workshops, mentoring, dedicated training budget; healthcare plan; company group insurance; mental health and wellbeing resources";https://www.linkedin.com/jobs/view/4293596296
30;Technical Support Engineer L1;Capital.com;Warsaw;"Investigate and resolve service requests: describe, triage, and resolve client and internal requests within agreed timelines; Monitor system health: proactively track system performance, investigate abnormal behavior, and escalate in case of component failures; Collaborate cross-functionally: work closely with Risk Managers, DBAs, Developers, Customer Support, and other teams to research and resolve issues; Contribute to automation: automate manual tasks and design internal tools leveraging advanced technologies (including AI) to streamline operations; Improve operational processes: design and enhance tools that accelerate issue identification (root cause analysis) and resolution; Create and maintain documentation: develop troubleshooting guides and knowledge base articles for recurring issues";"Basic understanding of IT infrastructure, system monitoring, and incident handling; Strong analytical and troubleshooting skills; Understanding of client-server architecture and system components; Experience in trading or fintech companies is nice to have; Basic scripting knowledge (preferably Python) or strong interest in learning automation; Ability to clearly document technical issues and solutions; Excellent written and verbal communication skills in English; Willingness to work in a 24/7 shift environment; Experience with monitoring systems and alerting tools (nice to have); Familiarity with SQL and database basics (nice to have); Experience with ticketing systems (e.g., Jira, ServiceNow) (nice to have); Exposure to automation, bots, or AI-driven tools (nice to have)";"Competitive Salary; Work-Life Harmony; Generous Time Off; Employee Referral Program; Comprehensive Health & Pension Benefits; Workation Wonderland (30 extra days remote work from anywhere in the world); Volunteer Days (2 additional paid days per year)";https://www.linkedin.com/jobs/view/4377996192
31;Internal Audit – Technology Risk & Cybersecurity Associate;Goldman Sachs;Warsaw;"Assist / Lead the risk assessment, scoping and planning of a review; Assist / Lead in executing the review (Analyse the design and architecture of the technology systems in the context of information technology controls such as security, availability and performance and their impact on business-aligned technology groups; Analyse the technology and business processes to evaluate the effectiveness of the relevant technology controls; Validate that technology controls meet internal and regulatory requirements; Document the results of the test steps executed within the IA workpaper repository); Assist/Lead in the report preparation; Assist/Lead in presenting the scope, progress and results of the review to internal, technology and business stakeholders";"Minimum 3 years work experience, with 1 year minimum auditing experience; Degree in Computer Science, Information Security, Engineering (or equivalent) preferred; Good understanding of Linux and Windows operating systems; knowledge of security administration and configuration of servers and desktops; batch scripting and executing standard commands; Computer networks design fundamentals and understanding of the network components; Understanding of Cloud computing concepts, technologies, risks and mitigating controls; Knowledge of Security risks related to web, mobile, web services, and client/server architectures; Understanding of Encryption schemes (symmetric, asymmetric, and hashing) and how they may be applied in an application architecture; Understanding of Vulnerability assessment and penetration testing methodologies and processes; Experience with Splunk and/or other SIEM platforms (useful but not required); Understanding of Threat modelling, intelligence and incident response processes; Understanding of IT operations processes (backups, change management, system monitoring, incident/problem management); Understanding of Business continuity planning and disaster recovery; Knowledge of Security controls within SDLC; Familiarity with standards (NIST, ISO 27001, GDPR, DORA, etc.); Data and log analysis (useful but not required); Certifications (CISA, CISSP, CISM, etc. useful but not required); Strong analytical skills; Ability to work across audit teams; Strong written and verbal communication skills; Ability to multitask";;https://www.linkedin.com/jobs/view/4385601968
32;IT Product Owner;Hays;Warsaw;"Lead Customer Engagements (Conduct discussions and workshops with customers to understand their needs, translating these insights into actionable product requirements; Organize product demonstrations to showcase solutions); Manage Customer Requirements (Develop business requirements, functional requirements, user stories, prioritize based on lottery customer feedback, market trends, and business value); Coordinate Across Product Lifecycle (Work closely with product engineering leaders to support day-to-day engineering efforts and ensure seamless product implementation utilizing Agile methodologies; Assists Quality Assurance team with testing direction in accordance with acceptance criteria and product vision; Coordinate with stakeholders to address any challenges or changes needed during delivery); Develop Artifacts (Create business and functional product documentation, user guides, and customer-facing release toolkits); Enhance Customer Support (Provide continuous guidance and assistance to customers, fostering product engagement and maximizing its usage); Understand and Shape Product Vision (Collaborate with the Product Manager to understand and influence the vision for the Claim and Payment’s product, ensuring alignment with strategic goals); Leverage AI-assisted tools (Employ AI assistants to expedite the development of clear requirements, user stories, and acceptance criteria; Utilize these technologies to enhance the quality and consistency of existing product documentation)";"Experience: 3+ years in business systems analysis, product ownership, or a related field; Technical Expertise: Familiarity with enterprise-grade B2B products including mobile and web-based products; Proficiency with tools like Jira, Polarion-X, or similar; Communication Skills: Strong English-language verbal and written skills; Management Abilities: Ability to prioritize and manage multiple projects simultaneously; Interpersonal Skills: Ability to influence and collaborate across all organizational levels; Generative AI tools skills: Sound AI skills to support product ownership work; Familiarity with responsible AI practices";;https://www.linkedin.com/jobs/view/4417617742
33;IT Network & User Support Specialist;Ayesa Digital;Warsaw;"Deploy and maintain office IT infrastructure outside regular premises, mainly across EU locations; Deploy and support high-quality wired and wireless connectivity solutions in remote and international environments; Provide technical assistance and support services to internal and external users remotely and onsite; Handle incidents and service requests through multiple channels (self-service portal, phone, email, and in person); Troubleshoot and analyse hardware, software, network, and workplace-related issues; Escalate complex incidents to specialised support teams when required; Provide end-user guidance and ensure an excellent customer experience; Contribute to knowledge base development and continuous service improvement initiatives; Configure, install, and maintain end-user devices and workplace equipment; Support IT deployment and infrastructure improvement projects; Work flexibly in environments requiring frequent travel and irregular working hours";"EQF Level 4 qualification or equivalent academic background; Certified English proficiency at C1 level or above; 3–7 years of relevant professional experience in IT support and infrastructure environments; Proven experience in similar end-user support or service desk roles; Wired and wireless networking technologies; Windows operating systems and workplace environments; End-user infrastructure, including workstations, printers, and peripherals; Microsoft 365 cloud services and collaboration tools; ITIL framework, particularly Incident and Request Management processes; ITSM platforms such as ServiceNow; Experience delivering technical support within international and multicultural environments; Full driving licence (Category B); Availability and willingness to travel frequently across Europe; Excellent communication skills, both written and verbal; Strong troubleshooting, analytical, and problem-solving abilities; High attention to detail and strong sense of responsibility; Service-oriented mindset with excellent interpersonal skills; Ability to work independently under pressure and with minimal supervision; Proactive, adaptable, and solution-focused attitude; Diplomatic and customer-focused approach; Hands-on mentality and practical technical skills";"Opportunity to work on prestigious European Union projects; International, innovative, and multicultural work environment; Participation in high-impact technological initiatives; Continuous learning and collaboration with expert teams; Professional growth within a global organisation";https://www.linkedin.com/jobs/view/4410192398
34;IT Analyst;Jit Team;Warsaw;"Maintain and develop the Software Lifecycle experience for the Service Areas, ensuring that lifecycle processes and data remain accurate, accessible and aligned with business needs; Enable and provide Software Lifecycle data to customers to support transparency, decision-making and compliance; Investigate and support cases related to obsolete software by helping Service Areas understand the impact, risks and required mitigation actions; Collaborate with Service Areas and stakeholders to ensure proper handling of lifecycle issues and to guide them through remediation steps; Participate in audits within the Software Lifecycle domain by providing data, documentation and subject-matter expertise";"Strong knowledge of Software Asset Lifecycle Management and understanding of software lifecycle processes and activities; Proactive, self-driven, and “can-do” attitude; Excellent communication and interpersonal skills; Good understanding of software and hardware environments; Knowledge of IT architecture, software processes, and governance principles; Experience with FlexeraOne or similar SAM solutions (strong advantage); Knowledge of Power BI and Excel for reporting and data analysis; Professional proficiency in English; Strong cooperation and teamwork skills; Competence in Flexera tools such as FlexNet Manager Suite, Data Platform or FlexeraOne modules “ITAM” and “ITV” (nice to have); Experience with Software Asset Management and lifecycle processes (nice to have)";"Salary: 800–1050 PLN/day on B2B; Flexible work organization; International work environment; Scandinavian organizational culture with work-life balance; Training opportunities financed by Jit; Integration meetings and community events";https://www.linkedin.com/jobs/view/4413981418
35;IT Support Specialist;Insight International (UK) Ltd;Warsaw;"Hands and feet support for all laptops/ desktops/printers and VC; L1 basic support for plant-based devices: biometric, server, Network, HMI and other manufacturing devices; Basic Support of non-network-based systems/apps (Password reset etc.); Device Management (End User/ Server/ Network and Engineering of in plant devices); Asset Management; Backup – Monthly activity on Non network devices; SOP/ Process Compliance, Validation and Qualification, QMS event management; Complete and or participate in regular daily, weekly Status reviews, reporting, administrative tasks, and general project management";"Knowing about Pharma IT is a must; Working in Pharma company would be advantage; Support Window: 8AM to 5 PM local Time (Poland); On Call support for outside this window for P1/P2 incidents";;https://www.linkedin.com/jobs/view/4417130944
36;Associate Cybersecurity Engineer;Visa;Warsaw;"Execution & Alignment (Collaborate with Warsaw IAM team and global AAG program to ensure local deliverables align with IAM AAG roadmap and security requirements; Collaborate with IAM engineers and analysts to implement Zero-Trust principles, regulatory requirements, and AI/ML-driven enhancements); Application Access Governance – Delivery (Onboard applications and components into IAM governance ensuring compliance with IAM controls and Technical Security Requirements; Use analytics tools (Excel, Power BI, Python) to assist in identifying access-risk patterns and recommending improvements; Enforce IAM controls, resolve exceptions, and support process improvements); AI & Automation (Develop scripts and workflows to automate IAM tasks; Assist in building and maintaining AI/ML models for IAM control/process gap detection and process optimization; Work with IAM technology team to test and deploy automation solutions); Engineering Support & Operational Excellence (Ensure continuous enforcement of IAM controls; Automate compliance reporting, IAM control validation, and evidence collection; Provide technical support for IAM-related requests and incidents); Stakeholder Collaboration (Partner with Application Development and Business teams to integrate IAM processes; Support change management activities); Configuration Validation (Perform manual validation of IAM security configurations); Risk, Compliance & Audit Readiness (Maintain IAM-related risk and control documentation; Assist with audit preparation including evidence collection); Learning & Knowledge Sharing (Develop technical and IAM domain knowledge; Share knowledge and collaborate with peers)";"2+ years of professional experience (or equivalent); Deep expertise in Identity & Access Management (IAM) frameworks, policies, and procedures; Strong grasp of application architecture, authentication, and authorization models; Advanced data-analytics and scripting skills in Excel, Python, PowerShell, and C; Hands-on experience applying AI and GenAI technologies to IAM solutions; Experience with IAM platforms (SailPoint, Okta, CyberArk, Azure AD etc.); Understanding of compliance standards (GDPR, SOX, HIPAA); Industry certifications (CISA, CISSP, CISM preferred); Strong communication and stakeholder-management abilities; Analytical and problem-solving skills; Ability to multitask; Experience with AI-driven automation";;https://www.linkedin.com/jobs/view/4422981836
37;Group Digital IT QA Specialist;Orbico Group;Warsaw;"Conduct manual testing of digital tools including SFA application, e-commerce platform and supporting tools like promotion or product management systems; Design, create, and maintain test scenarios, test cases, and test data based on business and functional requirements; Execute various types of testing, such as smoke, functional, regression, and UAT support testing; Identify, document, and track defects, collaborating closely with vendors, analysts, and product owners; Ensure timely validation of new features and system changes; Support User Acceptance Testing by working with business stakeholders and validating readiness for release; Create, update, and maintain QA documentation including test plans, test reports, and quality guidelines; Contribute to continuous improvement of testing processes, standards, and best practices";"Strong analytical skills, attention to detail, proactive quality-oriented mindset; Ability to work independently and collaboratively within cross-functional teams; Good written and spoken English (minimum B2 level); At least one year of practical testing experience working with SFA or e-commerce application; Familiarity with software development supporting tools (Jira or Azure DevOps) (nice to have)";"Opportunity to be part of Group Digital IT contributing to high-quality digital business tools; Exposure to multiple international markets and cross-functional teams; Professional growth and development within an international environment";https://www.linkedin.com/jobs/view/4415276866
38;IT & Office Manager;Pinsent Masons;Warsaw;This is a pivotal, hands-on role at the heart of our Warsaw office. As IT & Office Manager, you will take ownership of the day-to-day delivery of our workplace, facilities, client services and on-site IT support. Ensuring the office runs smoothly, safely and efficiently for colleagues and clients alike. Working closely with Business Operations and central support teams. Help create a modern, well-run and welcoming workplace experience. Overseeing all hard and soft services, including HVAC, cleaning, waste, archiving and security systems. Managing reception, hospitality, meeting rooms and switchboard services. Providing on-site second-line IT support, including onboarding, workstation setup and AV/VC assistance. Managing IT equipment, stock levels and asset registers. Maintaining and supporting local Business Continuity and Resilience plans. Managing office budgets, monitoring spend and identifying cost-saving opportunities. Ensuring compliance with health and safety policies and local regulations.;Proven experience across facilities, client services and workplace operations within a corporate or professional services environment. A recognised Health & Safety qualification (NEBOSH or IOSH). Strong IT literacy, with confidence using Microsoft Outlook, Word, Excel and PowerPoint. Excellent English and local language skills. Strong organisational, communication and stakeholder-management skills. Confidence working autonomously, managing competing priorities and handling sensitive information. Project management certification (e.g. Prince2 or Six Sigma) (desirable).;;https://www.linkedin.com/jobs/view/4391907173
39;IT Early Talent Leadership Development Program;Eaton;Warsaw;This development program is strategically designed to expose participants to different core IT areas with the goal to provide diverse experience supporting Corporate IT teams drive innovation, scale AI responsibly, and champion a customer-first mindset. Four 6-month assignments. Rotate through roles such as Cybersecurity Analyst, Cloud Engineer, AI Engineer, Data Engineer, Functional or Application Analyst. Work on high-impact functional projects, driving technology improvements and innovation. Collaborate with senior leaders with mentorship programs. Participate in LDP Core Learning Series and leadership development experiences.;Must currently possess or will have obtained a bachelor's degree in System Engineering, Business Information Technology, Computer Science, Computer Engineering, Data Science, or related by August 2026. A master's degree is also preferred. Work or internship experience in IT (max. 3 years). Strong analytical and business process skills. Proven technical ability through coursework and/or work experience. Effective communication. Proactivity and curiosity. Ability to learn fast and take challenging tasks. Desire to build a leadership career in a multinational company. Flexibility to relocate within the EMEA region during the program.;Personalized Program Experience with varied assignments. Global Perspectives with relocation to Eaton sites. Strategic Networking with senior leaders and mentorship. Comprehensive support throughout relocation process. Exclusive learning curriculum with 20 training sessions. Annual Early Talent Conference and networking events. Hybrid worktime model. Strong, agile, and diverse global team. Company with more than 100 years of history and focus on Inclusion & Diversity and Sustainability.;https://www.linkedin.com/jobs/view/4363039953
40;Security Analyst – Vulnerability Management;Procter & Gamble;Warsaw;Vulnerability Scanning Support: Run vulnerability scans across endpoints, servers, networks, and cloud assets. Utilize scanning tools to identify potential vulnerabilities and ensure comprehensive coverage. Data Review and Analysis: Review and analyze vulnerability data to prioritize findings. Generate reports that provide actionable recommendations for remediation efforts. Remediation Tracking and Support: Track ongoing remediation efforts, follow up on mitigation progress, and assist in the timely management of patch cycles to ensure vulnerabilities are addressed. Vulnerability Management Platform Support: Support the ongoing administration and optimization of the vulnerability management platform to ensure accurate, scalable, and effective vulnerability tracking across the enterprise. Threat Intelligence Monitoring: Monitor threat intelligence feeds for new vulnerabilities and assess their potential impact on organizational systems. Contribute to the understanding of emerging threats. Collaboration with Teams: Collaborate with security, infrastructure, and development teams to validate findings and provide context on risks associated with vulnerabilities. Stakeholder Communication: Assist in communicating vulnerability posture to IT and business stakeholders, translating technical information into understandable terms. Process Improvement: Maintain and improve internal tools and processes for tracking threats, exposures, and mitigation activities to enhance operational efficiency. Scripting and Automation: Support automation efforts by developing scripts to streamline vulnerability scanning and reporting processes, enhancing overall efficiency. Continuous Learning: Stay updated on global threat trends, security advisories, and zero-day vulnerabilities. Engage in learning opportunities to deepen knowledge of vulnerabilities, exploits, and security frameworks. Proactive Attitude: Demonstrate eagerness to learn and adopt cybersecurity best practices, contributing to a culture of security awareness within the organization.;Bachelor’s degree in Computer Science, Cybersecurity, Information Technology, or a related field, or equivalent practical experience. Experience using vulnerability scanning tools and platforms related to vulnerability management. Familiarity with common security concepts and industry frameworks such as MITRE ATT&CK, CVEs, CVSS scoring, as well as a good understanding of patching processes, and attack vectors. Strong technical skills, including proficiency in scripting (Python, Bash, PowerShell, or equivalent) and experience with API integration, automation, and security tools. Strong analytical and problem-solving skills with keen attention to detail. Good written and verbal communication skills, especially in translating technical issues for non-technical audiences. Eagerness to learn and a proactive attitude toward embracing cybersecurity best practices. Nice to have: Enterprise Endpoint Security, Security Orchestration, Automation and Response (SOAR), Network Scanning, Network Security (IPS/IDS), Security Protocols and Operating Systems (Windows, Unix, Linux), Log Analysis and Correlation.;P&G-sized projects and access to world leading IT partners and technologies from Day 1. Wide range of self-development possibilities (training and certifications paths). Competitive starting salary and benefits program (private health care, P&G stock, saving plans, sport cards). Regular salary increases and possible promotions - in line with your results and performance. Opportunity to change role every few years to be in the best place for you and best for P&G.;https://www.linkedin.com/jobs/view/4380815048
41;IT Manager ;Reckitt;Warsaw;Product Strategy and Development: Create symbiotic business partnering with key functional leaders in the market. Drive product prioritization aligned with Market vision and Strategy. Conduct market research to define product specifications and create development roadmaps. Product Launch and Performance: Create competitive advantage with our customers, consumers and external partners from IT&D capabilities. Coordinate with business stakeholders to ensure successful product launches. Drive the systematic use of ACAP (as-common-as-possible) solutions and manage the lifecycle of ADAN (as-different-as-needed), Exceptions and Legacy solutions while managing demand across the area (EUANZ). Monitor product performance against established KPIs and engage in post-launch analysis to gather feedback and refine the product. Ensure compliance with company policies and relevant regulations. Value Creation and Global Influence: Influence the EE roadmap through collaboration across other regions in EUANZ Area and global Product teams. Ensure tight budget management and control. Develop process flows and use cases to maximise simplification and value. Leadership and Team Management: Inspire and motivate cross-functional teams to achieve organizational goals. Foster a collaborative environment that encourages innovation and accountability. Partner with EE Commercial Directors, Global product owners and area functional leads.;Knowledge of Turkish is mandatory. Several years of professional experience gained in a similar position. Experience in Project Management. Excellent communication skills to effectively liaise between the business and its customers, and to maintain strong relationships with key stakeholders. Ability to think strategically and anticipate changes affecting the business environment. Strong problem-solving skills to address and resolve issues promptly. A good understanding of IT services and how they align with business needs. Ability to lead and influence cross-functional teams to achieve organizational goals.;Inclusion-focused environment. Collaboration with global Employee Resource Groups. Wellbeing support including parental benefits, Employee Assistance Program for mental health, and life insurance. Range of local market benefits. Global share plans allowing employees to save and participate in company success. Short-term incentives for eligible roles. Pay-for-performance philosophy.;https://www.linkedin.com/jobs/view/4252872152
42;IT Support Specialist;Cognizant;Warsaw;Provide technical support for desktop, laptop, and mobile devices. Troubleshoot and resolve hardware and software issues. Install, configure, and maintain operating systems and applications. Manage user accounts and permissions. Perform regular system updates and backups. Ensure security compliance and implement best practices. Collaborate with IT team members to improve system performance and reliability. Document technical procedures and solutions.;Bachelor’s degree in computer science, Information Technology, or related field. Minimum of 3 years of experience in desktop support or IT engineering. Proficiency in Windows, macOS, and Linux operating systems. Strong knowledge of networking protocols and hardware. Excellent problem-solving and communication skills. Ability to work independently and as part of a team. Certifications such as CompTIA A+, Microsoft Certified: Modern Desktop Administrator Associate, or similar are a plus. Operating Systems: Proficiency in Windows, macOS. Networking: Understanding networking protocols, hardware, and troubleshooting network issues. Software Management: Installing, configuring, and maintaining various software applications. Hardware Knowledge: Familiarity with computer hardware components and peripherals. Backup and Recovery: Implementing and managing backup solutions to ensure data integrity.;Extensive benefits package: Multisport Card, LuxMed medical healthcare including dental care, life insurance, cafeteria benefits. Office perks: dedicated space for gaming and wellness activities, kitchen equipped with snacks and drinks. Open-minded and multinational environment. Opportunity to be part of a global organization focused on development. Professional development and clear career path. Training & development opportunities including language courses.;https://www.linkedin.com/jobs/view/4413146443
43;Cybersecurity Consultant;Confidential;Warsaw;Security architecture and solution reviews. Cybersecurity requirements management. Change management and CAB participation. Cloud and infrastructure security. Security controls, risk assessments, and threat modelling. Collaboration with SOC, engineering, and business teams. Supporting compliance with banking cybersecurity standards and frameworks.;Strong expertise in Cybersecurity and Information Security. Proficiency in Application Security and Network Security. Experience conducting Vulnerability Assessments. Excellent problem-solving and analytical skills. Ability to work collaboratively across departments and stakeholders. Relevant certifications such as CISSP, CISM, or CISA are highly desirable. Bachelor’s degree in Computer Science, Information Technology, or a related field is preferred.;Opportunity to work on large-scale cybersecurity and digital transformation projects within a highly regulated banking environment. Opportunity to gain international experience, work on enterprise-scale environments, and contribute to the cybersecurity transformation of a major financial institution in the Middle East. Relocation support is available for candidates willing to move to Riyadh.;https://www.linkedin.com/jobs/view/4418767366
44;Data Governance Specialist;Volkswagen Financial Services;Warsaw;Communication and coordination with all relevant stakeholders in Headquarters and the European markets of VWFS, to support them with their local Data Governance including metadata management. Technical development and Implementation of Data Governance requirements with strong focus on the implementation via Data Governance tools (e.g. Collibra, Informatica) together with relevant markets. Making Data Governance implementation transparent and comparable by implementing adequate KPIs. Analyzing of existing data flows and the underlying business process and Initiation of solutions.;"At least one year of professional experience using Collibra; experience with other data governance tools is a strong asset. Strong stakeholder communication skills, fluent English (written and spoken), and a structured, results-driven approach to complex challenges. Data-driven, analytical, and agile mindset with strong data management expertise and high customer focus. Relevant university degree or equivalent professional qualification.";Contract of employment. Hybrid work model (3 days a week from the office) and a very good office location (Rondo ONZ 1). Medical package (full specialist package with dentistry). Multicafeteria. Lunch card. Life insurance. Employee Pension Program. Company products and services at a special price. Study funding. Online language classes (English/German).;https://www.linkedin.com/jobs/view/4413931816
